18:18:03.787 [main] INFO  filecommunication.FileWatcher -- :: open watch service to listen to the directory
18:18:03.805 [main] INFO  filecommunication.FileWatcher -- :: starting to listen to events
18:18:12.547 [main] INFO  filecommunication.FileWatcher -- :: start to process events occurred in directory
18:18:12.553 [main] INFO  filecommunication.FileWatcher -- :: starting reading file lines
18:18:12.637 [main] INFO  filecommunication.FileWatcher -- :: buffered source opened and read in lazy evaluation way
18:18:12.829 [main] INFO  filecommunication.FileWatcher -- :: ignore the header line from the file
18:18:13.175 [main] INFO  filecommunication.FileWatcher -- :: converting lines to order object
18:18:13.707 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.742 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.742 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.743 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.743 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.743 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.743 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.754 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.755 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.755 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.755 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.768 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.769 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.769 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.769 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.769 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.769 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.770 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.770 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.771 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.777 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.777 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.777 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.777 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.778 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.778 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.778 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.786 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.787 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.787 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.787 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.787 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.788 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.788 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.788 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.788 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.788 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.788 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.788 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.788 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.788 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.789 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.792 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.793 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.793 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.797 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.797 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.798 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.798 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.798 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.798 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.798 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.799 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.799 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.803 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.803 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.803 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.803 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.804 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.807 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.807 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.807 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.808 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.808 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.808 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.808 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.816 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.818 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.818 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.822 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.823 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.823 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.823 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.823 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.823 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.823 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.823 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.824 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.824 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.824 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.825 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.830 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.830 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.831 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.831 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.832 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.832 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.833 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.833 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.834 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.834 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.834 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.834 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.834 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.835 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.842 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.842 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.842 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.844 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.849 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.849 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.850 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.851 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.851 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.852 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.852 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.852 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.853 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.853 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.853 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.853 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.853 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.853 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.855 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.858 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.859 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.863 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.864 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.865 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.867 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.868 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.884 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.885 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.885 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.885 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.885 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.890 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.891 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.891 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.892 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.897 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.900 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.900 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.900 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.900 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.900 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.901 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.904 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.904 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.905 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.905 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.905 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.907 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.912 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.912 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.912 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.912 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.912 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.912 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.912 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.912 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.913 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.913 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.913 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.918 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.919 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.919 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.919 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.919 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.919 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.919 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
18:18:13.920 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
