11:15:24.979 [main] INFO  filecommunication.FileReader -- :: File start buffering
11:15:25.114 [main] INFO  filecommunication.FileReader -- :: file buffered successfully and closed
11:15:25.115 [main] INFO  filecommunication.FileReader -- :: File successfully read
11:15:25.364 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
11:15:25.381 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
11:15:25.385 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
11:15:25.386 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
11:15:25.386 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
11:15:25.386 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
11:15:25.386 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
11:15:25.386 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
11:15:25.386 [main] INFO  businesslogic.OrderProcessor$ -- :: Parse line and convert into order object
11:15:25.612 [main] INFO  businesslogic.RefactorRuleEngine$ -- :: Operation: calculateOrderDiscount calculate final discount for Order: 1
11:15:25.658 [main] INFO  businesslogic.RefactorRuleEngine$ -- :: Operation: tolocalDate executed successfully, Result: Some(2023-06-10).get.toString
11:15:25.690 [main] INFO  businesslogic.RefactorRuleEngine$ -- :: Operation: extractDate executed successfully, Result: 2023-04-18
11:15:25.692 [main] INFO  businesslogic.RefactorRuleEngine$ -- :: Operation: tolocalDate executed successfully, Result: Some(2023-04-18).get.toString
11:15:25.694 [main] INFO  businesslogic.RefactorRuleEngine$ -- :: Operation: qualifyExpirationDiscount executed successfully on Order: 1, Result: true
11:15:25.701 [main] INFO  businesslogic.RefactorRuleEngine$ -- :: Operation: subtractDate executed successfully, Result: -53from 2023-06-10, 2023-04-18
11:15:25.777 [main] INFO  businesslogic.RefactorRuleEngine$ -- :: Operation: extractProductCategory executed successfully, Result: wine
